date;id;condition;phase;type;start_time;end_time;unit;end_position;all_positions;gallery_shape_number;gallery;gallery_normalized
2025-05-06_19h21.38.308;999;individual;practice;moveblock;5.533879299880937;9.784687999868765;0;[0.035, -0.07];[[-0.315, 0.0], [-0.245, 0.0], [-0.175, 0.0], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [0.175, 0.0], [0.245, 0.0], [0.315, 0.0]];nan;nan;nan
2025-05-06_19h21.38.308;999;individual;practice;moveblock;11.525326199829578;16.381154399830848;9;[0.245, 0.07];[[0.035, -0.07], [-0.245, 0.0], [-0.175, 0.0], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [0.175, 0.0], [0.245, 0.0], [0.315, 0.0]];nan;nan;nan
2025-05-06_19h21.38.308;999;individual;practice;added shape to gallery;17.61684409994632;nan;nan;nan;1;[[0.035, -0.07], [-0.245, 0.0], [-0.175, 0.0], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [0.175, 0.0], [0.245, 0.0], [0.245, 0.07]];[[-0.21, 0.0], [-0.14, 0.0], [-0.07, 0.0], [0.0, 0.0], [0.07, -0.07], [0.07, 0.0], [0.14, 0.0], [0.21, 0.0], [0.28, 0.0], [0.28, 0.07]]
