"","gallery_normalized","shape_frequency"
"29","[[0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.0, 0.21], [0.07, -0.14], [0.07, 0.14], [0.14, -0.14], [0.14, 0.14]]",1
"30","[[0.0, -0.21], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.0, 0.21], [0.07, -0.21], [0.14, -0.21], [0.21, -0.21]]",5
"31","[[-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, -0.07], [0.0, 0.0], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07]]",7
"32","[[-0.07, 0.07], [-0.07, 0.14], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.0, 0.21], [0.07, 0.07], [0.07, 0.14]]",5
"33","[[0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.0, 0.21], [0.07, 0.21], [0.14, 0.21], [0.21, 0.21], [0.28, 0.21]]",3
"34","[[-0.14, 0.07], [-0.07, 0.07], [-0.07, 0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, 0.07], [0.07, 0.14], [0.14, 0.07]]",2
"35","[[-0.14, -0.07], [-0.07, -0.07], [-0.07, 0.0], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.07], [0.07, 0.0], [0.14, -0.07]]",9
"36","[[-0.14, 0.07], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.07], [0.14, -0.07]]",1
"37","[[-0.07, 0.14], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14], [0.07, 0.21]]",1
"38","[[-0.14, -0.07], [-0.07, -0.07], [-0.07, 0.07], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14]]",1
"39","[[-0.07, -0.14], [-0.07, 0.14], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.0, 0.21], [0.07, -0.14], [0.07, 0.14]]",4
"40","[[-0.14, -0.07], [-0.07, -0.07], [-0.07, 0.0], [0.0, -0.07], [0.0, 0.0], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.14, 0.07], [0.14, 0.14]]",1
"41","[[-0.14, -0.07], [-0.14, 0.0], [-0.07, 0.0], [0.0, -0.07], [0.0, 0.0], [0.07, 0.0], [0.07, 0.07], [0.14, 0.0], [0.14, 0.07], [0.14, 0.14]]",1
"42","[[-0.21, 0.07], [-0.14, -0.07], [-0.14, 0.07], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, 0.0], [0.07, 0.0], [0.14, 0.0], [0.21, 0.0]]",1
"43","[[-0.14, 0.0], [-0.14, 0.07], [-0.14, 0.14], [-0.07, 0.0], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, 0.0], [0.14, -0.07], [0.14, 0.0]]",1
"44","[[-0.07, 0.0], [-0.07, 0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.14, -0.07], [0.14, 0.0], [0.14, 0.07]]",2
"45","[[-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, 0.0], [0.0, 0.07], [0.07, 0.0], [0.07, 0.07], [0.14, -0.07], [0.14, 0.0], [0.14, 0.07]]",3
"46","[[-0.21, -0.14], [-0.21, -0.07], [-0.21, 0.0], [-0.21, 0.07], [-0.21, 0.14], [-0.14, -0.14], [-0.07, -0.14], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0]]",1
"47","[[-0.14, 0.14], [-0.07, 0.14], [0.0, -0.21], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, 0.14], [0.14, 0.14]]",9
"48","[[-0.14, 0.0], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.07, -0.07], [0.07, 0.0], [0.14, -0.07]]",2
"49","[[-0.14, 0.07], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, 0.07]]",2
"50","[[-0.14, 0.07], [-0.14, 0.14], [-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.07], [0.07, 0.0]]",4
