"","gallery_normalized","shape_frequency"
"336","[[-0.35, 0.0], [-0.28, 0.0], [-0.21, 0.0], [-0.14, 0.0], [-0.07, 0.0], [0.0, 0.0], [0.07, 0.0], [0.14, 0.0], [0.21, 0.0], [0.28, 0.0]]",4
"337","[[-0.14, 0.0], [-0.07, -0.21], [-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [-0.07, 0.21], [0.0, 0.0], [0.07, 0.0]]",1
"338","[[-0.14, -0.07], [-0.14, 0.0], [-0.07, 0.0], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, 0.0], [0.14, -0.07], [0.14, 0.0]]",2
"339","[[0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, -0.14], [0.07, 0.14], [0.14, -0.14], [0.14, -0.07], [0.14, 0.14]]",1
"340","[[-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, -0.14], [0.0, 0.0], [0.0, 0.14], [0.07, -0.14], [0.07, 0.14]]",19
"341","[[-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, 0.0], [0.0, 0.14], [0.07, 0.0], [0.07, 0.14], [0.14, 0.14]]",3
"342","[[-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, -0.14], [0.0, 0.0], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0]]",12
"343","[[-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.0], [0.0, -0.14], [0.0, 0.0], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14]]",5
"344","[[-0.14, 0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, 0.0], [0.07, 0.0], [0.14, 0.0], [0.14, 0.07], [0.14, 0.14], [0.21, 0.07], [0.21, 0.14]]",1
"345","[[-0.14, -0.07], [-0.07, -0.07], [-0.07, 0.0], [0.0, 0.0], [0.07, 0.0], [0.14, 0.0], [0.14, 0.07], [0.14, 0.14], [0.21, 0.14], [0.21, 0.21]]",1
"346","[[-0.14, -0.14], [-0.14, -0.07], [-0.14, 0.0], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, 0.07]]",2
"347","[[-0.14, 0.0], [-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, 0.07], [0.14, 0.07]]",3
"348","[[-0.07, -0.07], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.14, 0.0], [0.14, 0.07], [0.14, 0.14]]",1
"349","[[-0.14, -0.14], [-0.14, 0.0], [-0.07, -0.14], [-0.07, 0.0], [0.0, -0.14], [0.0, 0.0], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0], [0.14, -0.07]]",2
"350","[[-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, 0.0], [0.0, 0.14], [0.07, 0.0], [0.07, 0.14], [0.14, 0.0], [0.14, 0.07], [0.14, 0.14]]",6
"351","[[-0.14, 0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, -0.07], [0.0, 0.0], [0.07, -0.07], [0.07, 0.0], [0.14, 0.0], [0.14, 0.07], [0.21, 0.07]]",2
"352","[[-0.14, 0.0], [-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.0], [0.0, 0.0], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0], [0.14, 0.0], [0.14, 0.07]]",1
"353","[[-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, 0.0], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0], [0.14, 0.0], [0.14, 0.07]]",1
"354","[[-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14]]",6
"355","[[-0.14, -0.14], [-0.14, -0.07], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.14], [0.07, -0.07]]",2
"356","[[-0.07, -0.21], [-0.07, -0.14], [0.0, -0.21], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, -0.21], [0.07, -0.14]]",2
"357","[[-0.14, -0.21], [-0.14, -0.14], [-0.07, -0.21], [-0.07, -0.14], [0.0, -0.21], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14]]",1
"358","[[-0.14, -0.14], [-0.14, -0.07], [-0.14, 0.0], [-0.14, 0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, 0.0], [0.0, 0.07], [0.07, 0.0], [0.07, 0.07]]",2
"359","[[-0.07, -0.07], [-0.07, 0.07], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.14, -0.07], [0.14, 0.07]]",3
"360","[[-0.07, -0.07], [-0.07, 0.07], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.07], [0.07, 0.07], [0.14, -0.07], [0.14, 0.0], [0.14, 0.07]]",5
"361","[[-0.07, -0.14], [-0.07, 0.0], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.07, 0.0], [0.07, 0.14], [0.14, 0.0], [0.14, 0.07], [0.14, 0.14]]",1
"362","[[-0.14, -0.21], [-0.14, -0.14], [-0.14, -0.07], [-0.14, 0.0], [-0.07, 0.0], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, 0.14], [0.14, 0.14]]",1
"363","[[-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, 0.0], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14], [0.14, 0.07], [0.14, 0.14]]",1
"364","[[-0.14, 0.07], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, 0.0], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14], [0.14, 0.14]]",2
"365","[[-0.07, 0.14], [-0.07, 0.21], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.21], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14], [0.07, 0.21]]",3
"366","[[-0.14, 0.07], [-0.14, 0.14], [-0.07, 0.14], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, -0.14], [0.14, -0.14]]",1
"367","[[-0.07, 0.21], [0.0, -0.21], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.21], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14], [0.07, 0.21]]",1
"368","[[-0.07, -0.21], [-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, -0.14], [0.0, 0.0], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0]]",1
"369","[[-0.14, -0.14], [-0.07, -0.14], [-0.07, -0.07], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.14], [0.07, -0.07], [0.14, -0.14]]",5
"370","[[-0.14, -0.07], [-0.14, 0.0], [-0.14, 0.07], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, 0.0]]",3
"371","[[-0.07, 0.0], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.14], [0.07, -0.07], [0.07, 0.07], [0.07, 0.14], [0.14, -0.14], [0.14, 0.14]]",1
"372","[[-0.21, -0.14], [-0.14, -0.14], [-0.14, -0.07], [-0.07, -0.07], [-0.07, 0.0], [0.0, 0.0], [0.0, 0.07], [0.07, 0.07], [0.07, 0.14], [0.14, 0.14]]",4
"373","[[-0.21, 0.0], [-0.14, -0.07], [-0.14, 0.0], [-0.14, 0.07], [-0.07, 0.0], [0.0, 0.0], [0.07, 0.0], [0.07, 0.07], [0.14, 0.07], [0.14, 0.14]]",1
"374","[[-0.14, 0.07], [-0.07, 0.07], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.0, 0.21], [0.07, 0.07], [0.14, 0.07]]",9
"375","[[-0.28, 0.0], [-0.21, 0.0], [-0.14, 0.0], [-0.07, 0.0], [0.0, 0.0], [0.0, 0.07], [0.07, 0.0], [0.14, 0.0], [0.21, 0.0], [0.28, 0.0]]",1
"376","[[-0.07, -0.07], [-0.07, 0.0], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, 0.0], [0.07, 0.07], [0.14, 0.0], [0.14, 0.07], [0.14, 0.14]]",1
"377","[[0.0, -0.21], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, 0.07], [0.07, 0.14], [0.14, 0.07], [0.14, 0.14]]",1
"378","[[-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, 0.0], [0.07, -0.21], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14]]",9
"379","[[-0.21, -0.14], [-0.14, -0.14], [-0.07, -0.14], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, 0.14], [0.14, 0.14]]",1
"380","[[-0.21, 0.14], [-0.14, 0.14], [-0.07, 0.14], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, 0.0], [0.14, -0.14], [0.14, -0.07], [0.14, 0.0]]",1
"381","[[-0.07, -0.14], [-0.07, -0.07], [0.0, -0.21], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, -0.14], [0.07, -0.07]]",2
"382","[[-0.14, 0.0], [-0.14, 0.07], [-0.14, 0.14], [-0.07, 0.14], [0.0, 0.0], [0.0, 0.14], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14], [0.14, 0.0]]",1
"383","[[-0.14, -0.07], [-0.07, -0.07], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.07], [0.07, 0.07], [0.14, 0.0], [0.14, 0.07], [0.21, 0.07]]",1
"384","[[-0.14, -0.07], [-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.07], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, 0.07], [0.07, 0.14]]",1
"385","[[-0.14, 0.07], [-0.07, 0.07], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.14, 0.07], [0.21, 0.07]]",1
"386","[[-0.14, 0.0], [-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.07, -0.07], [0.07, 0.0], [0.14, 0.0]]",1
"387","[[-0.07, -0.14], [-0.07, 0.0], [0.0, -0.21], [0.0, -0.14], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0]]",1
"388","[[-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, 0.0], [0.0, 0.07], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14]]",10
"389","[[-0.14, 0.14], [-0.07, 0.07], [-0.07, 0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, 0.07], [0.07, 0.14], [0.14, 0.14]]",5
"390","[[-0.14, 0.07], [-0.14, 0.14], [-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, -0.07], [0.0, 0.0], [0.07, -0.14], [0.07, -0.07], [0.14, -0.14]]",1
"391","[[-0.14, 0.07], [-0.14, 0.14], [-0.07, 0.0], [-0.07, 0.07], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.07, -0.14], [0.14, -0.21], [0.14, -0.14]]",1
"392","[[-0.14, 0.0], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.07, -0.14], [0.07, -0.07], [0.14, -0.14]]",2
"393","[[-0.14, -0.07], [-0.07, -0.07], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.14, -0.07], [0.14, 0.07]]",1
"394","[[-0.14, -0.07], [-0.07, -0.07], [-0.07, 0.07], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, -0.07], [0.07, 0.07]]",1
"395","[[-0.07, -0.21], [-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, 0.0], [0.0, 0.14], [0.07, 0.0], [0.07, 0.14]]",8
"396","[[0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, -0.14], [0.14, -0.14], [0.14, -0.07], [0.14, 0.0], [0.14, 0.07]]",1
"397","[[0.0, -0.21], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, -0.21], [0.07, 0.14], [0.14, -0.21], [0.14, 0.14]]",3
"398","[[0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.0, 0.21], [0.07, -0.14], [0.14, -0.14], [0.21, -0.14], [0.28, -0.14]]",5
"399","[[-0.14, -0.07], [-0.14, 0.0], [-0.14, 0.07], [-0.14, 0.14], [-0.07, -0.07], [-0.07, 0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14]]",6
"400","[[-0.14, -0.07], [-0.14, 0.0], [-0.14, 0.07], [-0.07, -0.07], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07]]",1
"401","[[-0.14, -0.07], [-0.14, 0.0], [-0.14, 0.07], [-0.07, -0.07], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.07], [0.14, -0.07], [0.14, 0.0]]",1
"402","[[-0.14, 0.07], [-0.14, 0.14], [-0.07, 0.0], [-0.07, 0.07], [0.0, 0.0], [0.07, 0.0], [0.14, 0.0], [0.14, 0.07], [0.21, 0.07], [0.21, 0.14]]",2
"403","[[-0.14, 0.07], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, 0.0], [0.07, 0.0], [0.14, -0.07], [0.14, 0.0], [0.14, 0.07], [0.21, 0.07]]",1
"404","[[-0.14, 0.07], [-0.07, 0.07], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, 0.07], [0.07, 0.14], [0.14, 0.07], [0.14, 0.14]]",1
"405","[[-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, 0.0], [0.07, 0.07]]",2
"406","[[-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, 0.0], [0.0, 0.07], [0.07, 0.0], [0.07, 0.07], [0.14, 0.0], [0.14, 0.07]]",2
"407","[[-0.14, 0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, -0.07], [0.0, 0.0], [0.0, 0.14], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14], [0.14, 0.07]]",1
"408","[[-0.14, -0.14], [-0.14, 0.0], [-0.07, -0.14], [-0.07, 0.0], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.07], [0.07, 0.0]]",1
"409","[[-0.07, -0.07], [-0.07, 0.0], [0.0, -0.07], [0.0, 0.0], [0.0, 0.14], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14], [0.07, 0.21]]",1
"410","[[-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.21], [0.0, 0.0], [0.0, 0.21], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14], [0.07, 0.21]]",1
"411","[[-0.14, 0.0], [-0.07, -0.14], [-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.14], [0.07, 0.0]]",2
"412","[[-0.14, -0.14], [-0.14, -0.07], [-0.14, 0.0], [-0.14, 0.07], [-0.14, 0.14], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.14], [0.0, 0.0], [0.07, 0.0]]",1
"413","[[-0.14, 0.07], [-0.07, -0.07], [-0.07, 0.07], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.07], [0.07, 0.07], [0.14, -0.07], [0.14, 0.07]]",2
"414","[[-0.14, 0.0], [-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.0], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, 0.0], [0.14, 0.0]]",1
"415","[[-0.14, 0.0], [-0.07, -0.07], [-0.07, 0.0], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, 0.0], [0.14, 0.0]]",3
"416","[[-0.07, -0.07], [-0.07, 0.0], [0.0, -0.21], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, 0.0], [0.07, 0.07]]",1
"417","[[-0.07, -0.21], [-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.0, 0.21], [0.0, 0.28]]",1
"418","[[-0.21, 0.0], [-0.14, 0.0], [-0.14, 0.07], [-0.14, 0.14], [-0.07, -0.07], [-0.07, 0.0], [0.0, 0.0], [0.0, 0.07], [0.07, 0.07], [0.14, 0.07]]",1
"419","[[-0.14, -0.14], [-0.14, -0.07], [-0.14, 0.0], [-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.07, 0.0]]",1
"420","[[0.0, -0.35], [0.0, -0.28], [0.0, -0.21], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.0, 0.21], [0.0, 0.28]]",6
"421","[[-0.14, 0.0], [-0.14, 0.07], [-0.14, 0.14], [-0.14, 0.21], [-0.07, 0.0], [0.0, 0.0], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14], [0.07, 0.21]]",1
"422","[[-0.14, -0.14], [-0.14, -0.07], [-0.14, 0.0], [-0.14, 0.07], [-0.07, 0.0], [0.0, 0.0], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07]]",6
"423","[[-0.07, 0.0], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, -0.14], [0.07, -0.07], [0.07, 0.07], [0.14, -0.07], [0.14, 0.0], [0.14, 0.07]]",1
"424","[[-0.14, 0.07], [-0.14, 0.14], [-0.07, 0.07], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, 0.07], [0.14, 0.07], [0.14, 0.14]]",6
"425","[[-0.07, -0.07], [-0.07, 0.07], [-0.07, 0.14], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.07], [0.07, 0.07], [0.07, 0.14]]",11
"426","[[-0.07, 0.07], [-0.07, 0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14], [0.14, -0.07], [0.14, 0.0]]",1
"427","[[-0.14, -0.14], [-0.14, -0.07], [-0.07, -0.07], [-0.07, 0.0], [0.0, 0.0], [0.0, 0.07], [0.07, 0.07], [0.07, 0.14], [0.14, 0.14], [0.14, 0.21]]",2
"428","[[-0.14, 0.0], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, 0.0]]",1
"429","[[-0.14, 0.0], [-0.07, 0.0], [-0.07, 0.07], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, 0.0], [0.07, 0.07], [0.14, 0.0]]",10
"430","[[-0.14, -0.14], [-0.14, -0.07], [-0.14, 0.0], [-0.07, 0.0], [-0.07, 0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0]]",2
"431","[[-0.14, 0.0], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, 0.0]]",2
"432","[[-0.07, 0.07], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.14, 0.07]]",2
"433","[[-0.07, -0.07], [-0.07, 0.14], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.0, 0.21], [0.07, -0.07], [0.07, 0.14]]",2
"434","[[-0.07, 0.0], [-0.07, 0.21], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.0, 0.21], [0.07, 0.0], [0.07, 0.21]]",2
"435","[[-0.14, 0.0], [-0.14, 0.07], [-0.07, 0.0], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, 0.0], [0.14, 0.0], [0.14, 0.07]]",5
"436","[[-0.21, 0.0], [-0.14, 0.0], [-0.14, 0.07], [-0.07, 0.0], [0.0, -0.07], [0.0, 0.0], [0.07, 0.0], [0.14, 0.0], [0.14, 0.07], [0.21, 0.0]]",1
"437","[[-0.14, 0.07], [-0.14, 0.14], [-0.07, 0.14], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.14], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14]]",1
"438","[[-0.14, -0.07], [-0.14, 0.0], [-0.07, 0.0], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, 0.0], [0.14, 0.0], [0.14, 0.07]]",1
"439","[[-0.21, 0.07], [-0.14, 0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, -0.07], [0.0, 0.0], [0.07, 0.0], [0.07, 0.07], [0.14, 0.07], [0.21, 0.07]]",5
"440","[[-0.14, 0.0], [-0.14, 0.07], [-0.07, -0.07], [-0.07, 0.0], [0.0, 0.0], [0.0, 0.07], [0.07, -0.07], [0.07, 0.0], [0.14, 0.0], [0.14, 0.07]]",7
"441","[[-0.14, 0.07], [-0.07, 0.07], [-0.07, 0.14], [0.0, 0.0], [0.0, 0.07], [0.07, -0.07], [0.07, 0.0], [0.14, -0.14], [0.14, -0.07], [0.21, -0.07]]",1
"442","[[-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, -0.07], [0.0, 0.0], [0.07, -0.14], [0.07, -0.07], [0.14, -0.21], [0.14, -0.14], [0.14, -0.07]]",1
"443","[[-0.07, -0.28], [-0.07, -0.21], [-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.0], [0.0, 0.0], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14], [0.07, 0.21]]",2
"444","[[-0.07, -0.21], [-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.0], [0.0, 0.0], [0.0, 0.07], [0.07, -0.21], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0]]",3
"445","[[-0.14, 0.07], [-0.14, 0.14], [-0.07, 0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, 0.14], [0.14, 0.07], [0.14, 0.14]]",6
"446","[[-0.14, -0.07], [-0.14, 0.0], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.07], [0.07, 0.0]]",4
"447","[[-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.0], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0]]",6
"448","[[-0.14, 0.07], [-0.07, 0.07], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.07], [0.07, 0.07], [0.14, -0.07], [0.14, 0.07]]",1
"449","[[-0.14, 0.0], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, 0.0]]",2
"450","[[-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, 0.0], [0.0, 0.14], [0.07, 0.0], [0.07, 0.14], [0.14, 0.0], [0.14, 0.14]]",1
"451","[[-0.14, 0.0], [-0.07, -0.07], [-0.07, 0.0], [0.0, -0.07], [0.0, 0.0], [0.07, 0.0], [0.07, 0.07], [0.14, 0.0], [0.14, 0.07], [0.21, 0.0]]",2
"452","[[-0.28, -0.21], [-0.21, -0.21], [-0.14, -0.21], [-0.07, -0.21], [0.0, -0.21], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14]]",2
"453","[[-0.21, -0.07], [-0.14, -0.07], [-0.07, -0.07], [0.0, -0.07], [0.0, 0.0], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14], [0.07, 0.21]]",1
"454","[[-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.07], [0.07, 0.0], [0.14, -0.07]]",3
"455","[[0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14], [0.07, 0.21]]",1
"456","[[-0.14, 0.0], [-0.07, 0.0], [0.0, 0.0], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.14, 0.0], [0.14, 0.07], [0.14, 0.14], [0.21, 0.07]]",1
"457","[[-0.14, 0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, 0.07], [0.14, -0.07], [0.14, 0.0], [0.14, 0.07]]",1
"458","[[-0.14, 0.0], [-0.14, 0.07], [-0.07, 0.07], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, 0.07], [0.14, 0.0], [0.14, 0.07]]",3
"459","[[-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, 0.0], [0.0, 0.07], [0.07, 0.07], [0.14, -0.07], [0.14, 0.0], [0.14, 0.07], [0.14, 0.14]]",1
"460","[[-0.14, 0.14], [-0.07, 0.14], [0.0, -0.21], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, -0.14], [0.14, -0.14]]",1
