date;id;condition;phase;type;start_time;end_time;unit;end_position;all_positions;gallery_shape_number;gallery;gallery_normalized
2025-05-15_14h47.47.474;999;individual;practice;moveblock;38.25693879998289;39.116319700027816;2;[np.float64(-0.035), np.float64(0.07)];[[np.float64(-0.035), np.float64(-0.07)], [np.float64(0.035), np.float64(0.14)], [np.float64(0.175), np.float64(0.07)], [np.float64(-0.035), np.float64(-0.14)], [np.float64(-0.035), np.float64(0.0)], [np.float64(0.035), np.float64(0.0)], [np.float64(0.105), np.float64(0.0)], [np.float64(0.035), np.float64(0.07)], [np.float64(0.035), np.float64(-0.07)], [np.float64(0.105), np.float64(0.07)]];nan;nan;nan
2025-05-15_14h47.47.474;999;individual;practice;moveblock;40.769518699962646;42.34384939994197;5;[np.float64(0.105), np.float64(0.14)];[[np.float64(-0.035), np.float64(-0.07)], [np.float64(0.035), np.float64(0.14)], [np.float64(-0.035), np.float64(0.07)], [np.float64(-0.035), np.float64(-0.14)], [np.float64(-0.035), np.float64(0.0)], [np.float64(0.035), np.float64(0.0)], [np.float64(0.105), np.float64(0.0)], [np.float64(0.035), np.float64(0.07)], [np.float64(0.035), np.float64(-0.07)], [np.float64(0.105), np.float64(0.07)]];nan;nan;nan
2025-05-15_14h47.47.474;999;individual;practice;moveblock;44.00515089998953;44.493262400035746;8;[np.float64(0.035), np.float64(-0.14)];[[np.float64(-0.035), np.float64(-0.07)], [np.float64(0.035), np.float64(0.14)], [np.float64(-0.035), np.float64(0.07)], [np.float64(-0.035), np.float64(-0.14)], [np.float64(-0.035), np.float64(0.0)], [np.float64(0.105), np.float64(0.14)], [np.float64(0.105), np.float64(0.0)], [np.float64(0.035), np.float64(0.07)], [np.float64(0.035), np.float64(-0.07)], [np.float64(0.105), np.float64(0.07)]];nan;nan;nan
2025-05-15_14h47.47.474;999;individual;practice;moveblock;47.93595860002097;48.594176699989475;1;[np.float64(0.035), np.float64(0.0)];[[np.float64(-0.035), np.float64(-0.07)], [np.float64(0.035), np.float64(0.14)], [np.float64(-0.035), np.float64(0.07)], [np.float64(-0.035), np.float64(-0.14)], [np.float64(-0.035), np.float64(0.0)], [np.float64(0.105), np.float64(0.14)], [np.float64(0.105), np.float64(0.0)], [np.float64(0.035), np.float64(0.07)], [np.float64(0.035), np.float64(-0.14)], [np.float64(0.105), np.float64(0.07)]];nan;nan;nan
2025-05-15_14h47.47.474;999;individual;practice;moveblock;51.11370159999933;52.107085500028916;8;[np.float64(-0.035), np.float64(0.14)];[[np.float64(-0.035), np.float64(-0.07)], [np.float64(0.035), np.float64(0.0)], [np.float64(-0.035), np.float64(0.07)], [np.float64(-0.035), np.float64(-0.14)], [np.float64(-0.035), np.float64(0.0)], [np.float64(0.105), np.float64(0.14)], [np.float64(0.105), np.float64(0.0)], [np.float64(0.035), np.float64(0.07)], [np.float64(0.035), np.float64(-0.14)], [np.float64(0.105), np.float64(0.07)]];nan;nan;nan
2025-05-15_14h47.47.474;999;individual;practice;moveblock;53.56544069992378;54.48616219998803;3;[np.float64(0.175), np.float64(0.0)];[[np.float64(-0.035), np.float64(-0.07)], [np.float64(0.035), np.float64(0.0)], [np.float64(-0.035), np.float64(0.07)], [np.float64(-0.035), np.float64(-0.14)], [np.float64(-0.035), np.float64(0.0)], [np.float64(0.105), np.float64(0.14)], [np.float64(0.105), np.float64(0.0)], [np.float64(0.035), np.float64(0.07)], [np.float64(-0.035), np.float64(0.14)], [np.float64(0.105), np.float64(0.07)]];nan;nan;nan
2025-05-15_14h47.47.474;999;individual;practice;moveblock;58.87917889992241;59.64813500002492;0;[np.float64(0.035), np.float64(0.14)];[[np.float64(-0.035), np.float64(-0.07)], [np.float64(0.035), np.float64(0.0)], [np.float64(-0.035), np.float64(0.07)], [np.float64(0.175), np.float64(0.0)], [np.float64(-0.035), np.float64(0.0)], [np.float64(0.105), np.float64(0.14)], [np.float64(0.105), np.float64(0.0)], [np.float64(0.035), np.float64(0.07)], [np.float64(-0.035), np.float64(0.14)], [np.float64(0.105), np.float64(0.07)]];nan;nan;nan
2025-05-15_14h47.47.474;999;individual;practice;moveblock;61.47372849995736;62.44428399996832;7;[np.float64(0.175), np.float64(0.07)];[[np.float64(0.035), np.float64(0.14)], [np.float64(0.035), np.float64(0.0)], [np.float64(-0.035), np.float64(0.07)], [np.float64(0.175), np.float64(0.0)], [np.float64(-0.035), np.float64(0.0)], [np.float64(0.105), np.float64(0.14)], [np.float64(0.105), np.float64(0.0)], [np.float64(0.035), np.float64(0.07)], [np.float64(-0.035), np.float64(0.14)], [np.float64(0.105), np.float64(0.07)]];nan;nan;nan
2025-05-15_14h47.47.474;999;individual;practice;moveblock;64.49347849993501;65.34051629994065;3;[np.float64(0.175), np.float64(0.14)];[[np.float64(0.035), np.float64(0.14)], [np.float64(0.035), np.float64(0.0)], [np.float64(-0.035), np.float64(0.07)], [np.float64(0.175), np.float64(0.0)], [np.float64(-0.035), np.float64(0.0)], [np.float64(0.105), np.float64(0.14)], [np.float64(0.105), np.float64(0.0)], [np.float64(0.175), np.float64(0.07)], [np.float64(-0.035), np.float64(0.14)], [np.float64(0.105), np.float64(0.07)]];nan;nan;nan
2025-05-15_14h47.47.474;999;individual;practice;moveblock;67.1211829999229;68.07058349996805;3;[np.float64(0.245), np.float64(0.07)];[[np.float64(0.035), np.float64(0.14)], [np.float64(0.035), np.float64(0.0)], [np.float64(-0.035), np.float64(0.07)], [np.float64(0.175), np.float64(0.14)], [np.float64(-0.035), np.float64(0.0)], [np.float64(0.105), np.float64(0.14)], [np.float64(0.105), np.float64(0.0)], [np.float64(0.175), np.float64(0.07)], [np.float64(-0.035), np.float64(0.14)], [np.float64(0.105), np.float64(0.07)]];nan;nan;nan
2025-05-15_14h47.47.474;999;individual;practice;moveblock;70.90989020001143;73.76756359997671;2;[np.float64(0.315), np.float64(0.07)];[[np.float64(0.035), np.float64(0.14)], [np.float64(0.035), np.float64(0.0)], [np.float64(-0.035), np.float64(0.07)], [np.float64(0.245), np.float64(0.07)], [np.float64(-0.035), np.float64(0.0)], [np.float64(0.105), np.float64(0.14)], [np.float64(0.105), np.float64(0.0)], [np.float64(0.175), np.float64(0.07)], [np.float64(-0.035), np.float64(0.14)], [np.float64(0.105), np.float64(0.07)]];nan;nan;nan
2025-05-15_14h47.47.474;999;individual;practice;moveblock;77.42539300001226;79.41514669999015;2;[np.float64(-0.035), np.float64(-0.07)];[[np.float64(0.035), np.float64(0.14)], [np.float64(0.035), np.float64(0.0)], [np.float64(0.315), np.float64(0.07)], [np.float64(0.245), np.float64(0.07)], [np.float64(-0.035), np.float64(0.0)], [np.float64(0.105), np.float64(0.14)], [np.float64(0.105), np.float64(0.0)], [np.float64(0.175), np.float64(0.07)], [np.float64(-0.035), np.float64(0.14)], [np.float64(0.105), np.float64(0.07)]];nan;nan;nan
2025-05-15_14h47.47.474;999;individual;practice;moveblock;85.37773459998425;86.20869300002232;8;[np.float64(0.175), np.float64(0.0)];[[np.float64(0.035), np.float64(0.14)], [np.float64(0.035), np.float64(0.0)], [np.float64(-0.035), np.float64(-0.07)], [np.float64(0.245), np.float64(0.07)], [np.float64(-0.035), np.float64(0.0)], [np.float64(0.105), np.float64(0.14)], [np.float64(0.105), np.float64(0.0)], [np.float64(0.175), np.float64(0.07)], [np.float64(-0.035), np.float64(0.14)], [np.float64(0.105), np.float64(0.07)]];nan;nan;nan
2025-05-15_14h47.47.474;999;individual;practice;moveblock;88.81968269997742;89.90524839994032;2;[np.float64(0.315), np.float64(0.07)];[[np.float64(0.035), np.float64(0.14)], [np.float64(0.035), np.float64(0.0)], [np.float64(-0.035), np.float64(-0.07)], [np.float64(0.245), np.float64(0.07)], [np.float64(-0.035), np.float64(0.0)], [np.float64(0.105), np.float64(0.14)], [np.float64(0.105), np.float64(0.0)], [np.float64(0.175), np.float64(0.07)], [np.float64(0.175), np.float64(0.0)], [np.float64(0.105), np.float64(0.07)]];nan;nan;nan
2025-05-15_14h47.47.474;999;individual;practice;moveblock;91.83513779996429;92.78089279995766;4;[np.float64(0.175), np.float64(0.14)];[[np.float64(0.035), np.float64(0.14)], [np.float64(0.035), np.float64(0.0)], [np.float64(0.315), np.float64(0.07)], [np.float64(0.245), np.float64(0.07)], [np.float64(-0.035), np.float64(0.0)], [np.float64(0.105), np.float64(0.14)], [np.float64(0.105), np.float64(0.0)], [np.float64(0.175), np.float64(0.07)], [np.float64(0.175), np.float64(0.0)], [np.float64(0.105), np.float64(0.07)]];nan;nan;nan
2025-05-15_14h47.47.474;999;individual;practice;moveblock;95.47227010002825;96.62817209993955;9;[np.float64(0.385), np.float64(0.07)];[[np.float64(0.035), np.float64(0.14)], [np.float64(0.035), np.float64(0.0)], [np.float64(0.315), np.float64(0.07)], [np.float64(0.245), np.float64(0.07)], [np.float64(0.175), np.float64(0.14)], [np.float64(0.105), np.float64(0.14)], [np.float64(0.105), np.float64(0.0)], [np.float64(0.175), np.float64(0.07)], [np.float64(0.175), np.float64(0.0)], [np.float64(0.105), np.float64(0.07)]];nan;nan;nan
2025-05-15_14h47.47.474;999;individual;practice;moveblock;98.52279499999713;99.24236909998581;1;[np.float64(0.385), np.float64(0.0)];[[np.float64(0.035), np.float64(0.14)], [np.float64(0.035), np.float64(0.0)], [np.float64(0.315), np.float64(0.07)], [np.float64(0.245), np.float64(0.07)], [np.float64(0.175), np.float64(0.14)], [np.float64(0.105), np.float64(0.14)], [np.float64(0.105), np.float64(0.0)], [np.float64(0.175), np.float64(0.07)], [np.float64(0.175), np.float64(0.0)], [np.float64(0.385), np.float64(0.07)]];nan;nan;nan
2025-05-15_14h47.47.474;999;individual;practice;moveblock;101.41985499998555;102.84413129999302;0;[np.float64(0.385), np.float64(0.14)];[[np.float64(0.035), np.float64(0.14)], [np.float64(0.385), np.float64(0.0)], [np.float64(0.315), np.float64(0.07)], [np.float64(0.245), np.float64(0.07)], [np.float64(0.175), np.float64(0.14)], [np.float64(0.105), np.float64(0.14)], [np.float64(0.105), np.float64(0.0)], [np.float64(0.175), np.float64(0.07)], [np.float64(0.175), np.float64(0.0)], [np.float64(0.385), np.float64(0.07)]];nan;nan;nan
2025-05-15_14h47.47.474;999;individual;practice;added shape to gallery;106.15115890000015;nan;nan;nan;1;[[np.float64(0.385), np.float64(0.14)], [np.float64(0.385), np.float64(0.0)], [np.float64(0.315), np.float64(0.07)], [np.float64(0.245), np.float64(0.07)], [np.float64(0.175), np.float64(0.14)], [np.float64(0.105), np.float64(0.14)], [np.float64(0.105), np.float64(0.0)], [np.float64(0.175), np.float64(0.07)], [np.float64(0.175), np.float64(0.0)], [np.float64(0.385), np.float64(0.07)]];[[np.float64(-0.14), np.float64(-0.07)], [np.float64(-0.14), np.float64(0.07)], [np.float64(-0.07), np.float64(-0.07)], [np.float64(-0.07), np.float64(0.0)], [np.float64(-0.07), np.float64(0.07)], [np.float64(0.0), np.float64(0.0)], [np.float64(0.07), np.float64(0.0)], [np.float64(0.14), np.float64(-0.07)], [np.float64(0.14), np.float64(0.0)], [np.float64(0.14), np.float64(0.07)]]
